questionLabel,prob,surveyIssued,Q
QF-1-0,0.6,2020-02-17,QF-1-0
QF-1-1_1,0.6220000000000001,2020-02-17,QF-1-1
QF-2-0,0.6,2020-02-17,QF-2-0
QF-2-1_1,0.5026666666666667,2020-02-17,QF-2-1
QF1,0.9411764705882353,2020-02-24,QF1
QF2_1,0.8135294117647058,2020-02-24,QF2
QF3,0.6470588235294118,2020-02-24,QF3
QF4_1,0.5735294117647058,2020-02-24,QF4
QF3,0.9523809523809523,2020-03-09,QF3
QF6_1,0.7194736842105264,2020-03-16,QF6
QF7_1,0.6788888888888889,2020-03-30,QF7
